Date,Item Name,Quantity Sold
2024-01-01,Coffee,150
2024-01-01,Croissant,80
2024-01-01,Sandwich,45
2024-01-01,Cake,30
2024-01-02,Coffee,165
2024-01-02,Croissant,75
2024-01-02,Sandwich,50
2024-01-02,Cake,35
2024-01-03,Coffee,180
2024-01-03,Croissant,90
2024-01-03,Sandwich,55
2024-01-03,Cake,40
2024-01-04,Coffee,170
2024-01-04,Croissant,85
2024-01-04,Sandwich,48
2024-01-04,Cake,32
2024-01-05,Coffee,200
2024-01-05,Croissant,100
2024-01-05,Sandwich,60
2024-01-05,Cake,45
2024-01-06,Coffee,220
2024-01-06,Croissant,110
2024-01-06,Sandwich,65
2024-01-06,Cake,50
2024-01-07,Coffee,210
2024-01-07,Croissant,105
2024-01-07,Sandwich,62
2024-01-07,Cake,48
2024-01-08,Coffee,155
2024-01-08,Croissant,78
2024-01-08,Sandwich,46
2024-01-08,Cake,31
2024-01-09,Coffee,168
2024-01-09,Croissant,82
2024-01-09,Sandwich,49
2024-01-09,Cake,33
2024-01-10,Coffee,175
2024-01-10,Croissant,88
2024-01-10,Sandwich,52
2024-01-10,Cake,37
2024-01-11,Coffee,185
2024-01-11,Croissant,92
2024-01-11,Sandwich,56
2024-01-11,Cake,41
2024-01-12,Coffee,195
2024-01-12,Croissant,95
2024-01-12,Sandwich,58
2024-01-12,Cake,43
2024-01-13,Coffee,225
2024-01-13,Croissant,115
2024-01-13,Sandwich,68
2024-01-13,Cake,52
2024-01-14,Coffee,215
2024-01-14,Croissant,108
2024-01-14,Sandwich,64
2024-01-14,Cake,49
2024-01-15,Coffee,160
2024-01-15,Croissant,80
2024-01-15,Sandwich,47
2024-01-15,Cake,32
2024-01-16,Coffee,172
2024-01-16,Croissant,85
2024-01-16,Sandwich,50
2024-01-16,Cake,35
2024-01-17,Coffee,178
2024-01-17,Croissant,87
2024-01-17,Sandwich,51
2024-01-17,Cake,36
2024-01-18,Coffee,188
2024-01-18,Croissant,93
2024-01-18,Sandwich,54
2024-01-18,Cake,39
2024-01-19,Coffee,192
2024-01-19,Croissant,94
2024-01-19,Sandwich,57
2024-01-19,Cake,42
2024-01-20,Coffee,230
2024-01-20,Croissant,118
2024-01-20,Sandwich,70
2024-01-20,Cake,55
2024-01-21,Coffee,218
2024-01-21,Croissant,112
2024-01-21,Sandwich,66
2024-01-21,Cake,51
2024-01-22,Coffee,162
2024-01-22,Croissant,81
2024-01-22,Sandwich,48
2024-01-22,Cake,33
2024-01-23,Coffee,174
2024-01-23,Croissant,86
2024-01-23,Sandwich,50
2024-01-23,Cake,34
2024-01-24,Coffee,182
2024-01-24,Croissant,89
2024-01-24,Sandwich,53
2024-01-24,Cake,38
2024-01-25,Coffee,190
2024-01-25,Croissant,91
2024-01-25,Sandwich,55
2024-01-25,Cake,40
2024-01-26,Coffee,235
2024-01-26,Croissant,120
2024-01-26,Sandwich,72
2024-01-26,Cake,58
2024-01-27,Coffee,228
2024-01-27,Croissant,116
2024-01-27,Sandwich,69
2024-01-27,Cake,53
2024-01-28,Coffee,164
2024-01-28,Croissant,82
2024-01-28,Sandwich,49
2024-01-28,Cake,34
2024-01-29,Coffee,176
2024-01-29,Croissant,87
2024-01-29,Sandwich,51
2024-01-29,Cake,36
2024-01-30,Coffee,184
2024-01-30,Croissant,90
2024-01-30,Sandwich,54
2024-01-30,Cake,39
2024-01-31,Coffee,198
2024-01-31,Croissant,96
2024-01-31,Sandwich,59
2024-01-31,Cake,44
2024-02-01,Coffee,158
2024-02-01,Croissant,79
2024-02-01,Sandwich,47
2024-02-01,Cake,31
2024-02-02,Coffee,170
2024-02-02,Croissant,84
2024-02-02,Sandwich,50
2024-02-02,Cake,35
2024-02-03,Coffee,186
2024-02-03,Croissant,91
2024-02-03,Sandwich,54
2024-02-03,Cake,39
2024-02-04,Coffee,194
2024-02-04,Croissant,93
2024-02-04,Sandwich,56
2024-02-04,Cake,41
2024-02-05,Coffee,205
2024-02-05,Croissant,102
2024-02-05,Sandwich,61
2024-02-05,Cake,46
2024-02-06,Coffee,240
2024-02-06,Croissant,125
2024-02-06,Sandwich,75
2024-02-06,Cake,60
2024-02-07,Coffee,232
2024-02-07,Croissant,118
2024-02-07,Sandwich,71
2024-02-07,Cake,57
2024-02-08,Coffee,161
2024-02-08,Croissant,80
2024-02-08,Sandwich,48
2024-02-08,Cake,32
2024-02-09,Coffee,173
2024-02-09,Croissant,85
2024-02-09,Sandwich,51
2024-02-09,Cake,36
2024-02-10,Coffee,181
2024-02-10,Croissant,88
2024-02-10,Sandwich,53
2024-02-10,Cake,38
2024-02-11,Coffee,189
2024-02-11,Croissant,92
2024-02-11,Sandwich,55
2024-02-11,Cake,40
2024-02-12,Coffee,197
2024-02-12,Croissant,95
2024-02-12,Sandwich,58
2024-02-12,Cake,43
2024-02-13,Coffee,238
2024-02-13,Croissant,122
2024-02-13,Sandwich,73
2024-02-13,Cake,59
2024-02-14,Coffee,250
2024-02-14,Croissant,130
2024-02-14,Sandwich,78
2024-02-14,Cake,65
2024-02-15,Coffee,163
2024-02-15,Croissant,81
2024-02-15,Sandwich,48
2024-02-15,Cake,33
2024-02-16,Coffee,175
2024-02-16,Croissant,86
2024-02-16,Sandwich,52
2024-02-16,Cake,37
2024-02-17,Coffee,183
2024-02-17,Croissant,89
2024-02-17,Sandwich,54
2024-02-17,Cake,39
2024-02-18,Coffee,191
2024-02-18,Croissant,93
2024-02-18,Sandwich,56
2024-02-18,Cake,41
2024-02-19,Coffee,199
2024-02-19,Croissant,97
2024-02-19,Sandwich,60
2024-02-19,Cake,45
2024-02-20,Coffee,245
2024-02-20,Croissant,128
2024-02-20,Sandwich,76
2024-02-20,Cake,62
2024-02-21,Coffee,236
2024-02-21,Croissant,121
2024-02-21,Sandwich,72
2024-02-21,Cake,58
2024-02-22,Coffee,165
2024-02-22,Croissant,82
2024-02-22,Sandwich,49
2024-02-22,Cake,34
2024-02-23,Coffee,177
2024-02-23,Croissant,87
2024-02-23,Sandwich,52
2024-02-23,Cake,37
2024-02-24,Coffee,185
2024-02-24,Croissant,90
2024-02-24,Sandwich,54
2024-02-24,Cake,39
2024-02-25,Coffee,193
2024-02-25,Croissant,94
2024-02-25,Sandwich,57
2024-02-25,Cake,42
2024-02-26,Coffee,242
2024-02-26,Croissant,126
2024-02-26,Sandwich,75
2024-02-26,Cake,61
2024-02-27,Coffee,234
2024-02-27,Croissant,119
2024-02-27,Sandwich,71
2024-02-27,Cake,57
2024-02-28,Coffee,167
2024-02-28,Croissant,83
2024-02-28,Sandwich,50
2024-02-28,Cake,35
2024-02-29,Coffee,179
2024-02-29,Croissant,88
2024-02-29,Sandwich,53
2024-02-29,Cake,38

