Date,Item Name,Quantity Sold
2023-12-01,Coffee,145
2023-12-01,Croissant,75
2023-12-01,Sandwich,42
2023-12-01,Cake,28
2023-12-01,Muffin,35
2023-12-01,Tea,60
2023-12-02,Coffee,160
2023-12-02,Croissant,80
2023-12-02,Sandwich,48
2023-12-02,Cake,32
2023-12-02,Muffin,38
2023-12-02,Tea,65
2023-12-03,Coffee,175
2023-12-03,Croissant,88
2023-12-03,Sandwich,52
2023-12-03,Cake,36
2023-12-03,Muffin,42
2023-12-03,Tea,70
2023-12-04,Coffee,168
2023-12-04,Croissant,83
2023-12-04,Sandwich,46
2023-12-04,Cake,30
2023-12-04,Muffin,37
2023-12-04,Tea,63
2023-12-05,Coffee,195
2023-12-05,Croissant,98
2023-12-05,Sandwich,58
2023-12-05,Cake,42
2023-12-05,Muffin,48
2023-12-05,Tea,75
2023-12-06,Coffee,215
2023-12-06,Croissant,108
2023-12-06,Sandwich,63
2023-12-06,Cake,48
2023-12-06,Muffin,55
2023-12-06,Tea,82
2023-12-07,Coffee,205
2023-12-07,Croissant,103
2023-12-07,Sandwich,60
2023-12-07,Cake,45
2023-12-07,Muffin,52
2023-12-07,Tea,78
2023-12-08,Coffee,150
2023-12-08,Croissant,75
2023-12-08,Sandwich,44
2023-12-08,Cake,29
2023-12-08,Muffin,34
2023-12-08,Tea,58
2023-12-09,Coffee,163
2023-12-09,Croissant,80
2023-12-09,Sandwich,47
2023-12-09,Cake,31
2023-12-09,Muffin,36
2023-12-09,Tea,62
2023-12-10,Coffee,170
2023-12-10,Croissant,85
2023-12-10,Sandwich,50
2023-12-10,Cake,34
2023-12-10,Muffin,39
2023-12-10,Tea,66
2023-12-11,Coffee,180
2023-12-11,Croissant,90
2023-12-11,Sandwich,53
2023-12-11,Cake,38
2023-12-11,Muffin,43
2023-12-11,Tea,70
2023-12-12,Coffee,190
2023-12-12,Croissant,93
2023-12-12,Sandwich,55
2023-12-12,Cake,40
2023-12-12,Muffin,46
2023-12-12,Tea,73
2023-12-13,Coffee,220
2023-12-13,Croissant,112
2023-12-13,Sandwich,66
2023-12-13,Cake,50
2023-12-13,Muffin,58
2023-12-13,Tea,85
2023-12-14,Coffee,210
2023-12-14,Croissant,105
2023-12-14,Sandwich,62
2023-12-14,Cake,47
2023-12-14,Muffin,54
2023-12-14,Tea,80
2023-12-15,Coffee,155
2023-12-15,Croissant,77
2023-12-15,Sandwich,45
2023-12-15,Cake,30
2023-12-15,Muffin,35
2023-12-15,Tea,59
2023-12-16,Coffee,167
2023-12-16,Croissant,82
2023-12-16,Sandwich,48
2023-12-16,Cake,33
2023-12-16,Muffin,38
2023-12-16,Tea,64
2023-12-17,Coffee,173
2023-12-17,Croissant,86
2023-12-17,Sandwich,51
2023-12-17,Cake,35
2023-12-17,Muffin,40
2023-12-17,Tea,67
2023-12-18,Coffee,183
2023-12-18,Croissant,91
2023-12-18,Sandwich,54
2023-12-18,Cake,39
2023-12-18,Muffin,44
2023-12-18,Tea,71
2023-12-19,Coffee,187
2023-12-19,Croissant,92
2023-12-19,Sandwich,56
2023-12-19,Cake,41
2023-12-19,Muffin,47
2023-12-19,Tea,74
2023-12-20,Coffee,225
2023-12-20,Croissant,115
2023-12-20,Sandwich,68
2023-12-20,Cake,53
2023-12-20,Muffin,62
2023-12-20,Tea,88
2023-12-21,Coffee,213
2023-12-21,Croissant,109
2023-12-21,Sandwich,64
2023-12-21,Cake,49
2023-12-21,Muffin,56
2023-12-21,Tea,83
2023-12-22,Coffee,158
2023-12-22,Croissant,79
2023-12-22,Sandwich,46
2023-12-22,Cake,31
2023-12-22,Muffin,36
2023-12-22,Tea,60
2023-12-23,Coffee,170
2023-12-23,Croissant,84
2023-12-23,Sandwich,49
2023-12-23,Cake,34
2023-12-23,Muffin,39
2023-12-23,Tea,65
2023-12-24,Coffee,178
2023-12-24,Croissant,87
2023-12-24,Sandwich,52
2023-12-24,Cake,37
2023-12-24,Muffin,42
2023-12-24,Tea,69
2023-12-25,Coffee,186
2023-12-25,Croissant,89
2023-12-25,Sandwich,54
2023-12-25,Cake,40
2023-12-25,Muffin,45
2023-12-25,Tea,72
2023-12-26,Coffee,230
2023-12-26,Croissant,118
2023-12-26,Sandwich,70
2023-12-26,Cake,55
2023-12-26,Muffin,64
2023-12-26,Tea,90
2023-12-27,Coffee,223
2023-12-27,Croissant,114
2023-12-27,Sandwich,67
2023-12-27,Cake,52
2023-12-27,Muffin,60
2023-12-27,Tea,87
2023-12-28,Coffee,160
