Date,Item Name,Quantity Sold
2024-01-01,Coffee,150
2024-01-01,Croissant,80
2024-01-02,Coffee,165
2024-01-02,Croissant,75
2024-01-03,Coffee,180
2024-01-03,Croissant,90
2024-01-04,Coffee,170
2024-01-04,Croissant,85
2024-01-05,Coffee,200
2024-01-05,Croissant,100
2024-01-06,Coffee,220
2024-01-06,Croissant,110
2024-01-07,Coffee,210
2024-01-07,Croissant,105
2024-01-08,Coffee,155
2024-01-08,Croissant,78
2024-01-09,Coffee,168
2024-01-09,Croissant,82
2024-01-10,Coffee,175
2024-01-10,Croissant,88
2024-01-11,Coffee,185
2024-01-11,Croissant,92
2024-01-12,Coffee,195
2024-01-12,Croissant,95
2024-01-13,Coffee,225
2024-01-13,Croissant,115
2024-01-14,Coffee,215
2024-01-14,Croissant,108
2024-01-15,Coffee,160
2024-01-15,Croissant,80
2024-01-16,Coffee,172
2024-01-16,Croissant,85
2024-01-17,Coffee,178
2024-01-17,Croissant,87
2024-01-18,Coffee,188
2024-01-18,Croissant,93
2024-01-19,Coffee,192
2024-01-19,Croissant,94
2024-01-20,Coffee,230
2024-01-20,Croissant,118
2024-01-21,Coffee,218
2024-01-21,Croissant,112
2024-01-22,Coffee,162
2024-01-22,Croissant,81
2024-01-23,Coffee,174
2024-01-23,Croissant,86
2024-01-24,Coffee,182
2024-01-24,Croissant,89
2024-01-25,Coffee,190
2024-01-25,Croissant,91
2024-01-26,Coffee,235
2024-01-26,Croissant,120
2024-01-27,Coffee,228
2024-01-27,Croissant,116
2024-01-28,Coffee,164
2024-01-28,Croissant,82
2024-01-29,Coffee,176
2024-01-29,Croissant,87
2024-01-30,Coffee,184
2024-01-30,Croissant,90
2024-01-31,Coffee,198
2024-01-31,Croissant,96

